ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12933,Bún mọc,Bún mọc thịt,Bún,Thịt heo vai tươi,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12934,Bún mọc,Bún mọc đầy đủ,Bún,Thịt heo nạc vai,Mọc,Đậu hũ da,,,,,,,,,,,,,,,,,,,,,,,,,,
12935,Cá diêu hồng kho cà,Cá diêu hồng kho cà,Cá diêu hồng,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12936,Bò xào đậu rồng,Bò xào đậu rồng,Bò tái,Đậu rồng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12937,Canh cải xanh,Canh cải xanh,Cải xanh,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12938,Bún măng gà,Bún măng gà tam hoàng,Bún,Gà tam hoàng,Măng tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12939,Bún măng gà,Bún măng má gà,Bún,Má gà tươi,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12940,Bún măng gà,Bún măng gà đùi,Bún,Đùi góc tư tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12941,Bún măng gà,Bún măng gà fillet,Bún,Măng tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12942,Bánh canh xương,Bánh canh xương heo,Bánh canh,Xương heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12943,Bánh canh xương,Bánh canh xương mọc,Bánh canh,Xương heo,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12944,Cá trê chiên giòn mắm gừng,Cá trê chiên giòn mắm gừng,Cá trê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12945,Bánh canh cá lóc,Bánh canh cá lóc nấm đùi gà,Bánh canh,Cá lóc,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12946,Bánh canh cá lóc,Bánh canh cá lóc nấm kim châm,Bánh canh,Cá lóc,Nấm kim châm,,,,,,,,,,,,,,,,,,,,,,,,,,,
12947,Bánh canh cá lóc,Bánh canh cá lóc nấm rơm,Bánh canh,Cá lóc,Nấm rơm,Nấm bào ngư xám,,,,,,,,,,,,,,,,,,,,,,,,,,
12948,Bánh canh cá lóc,Bánh canh cá lóc bột xắt,Bánh canh bột xắt,Cá lóc,Nấm bào ngư xám,Giá,Bắp cải trắng,Rau đắng,,,,,,,,,,,,,,,,,,,,,,,,
12949,Cá lóc kho bầu,Cá lóc kho bầu,Cá lóc,Bầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12950,Cá hồi sốt bơ tỏi,Cá hồi sốt bơ tỏi,Cá hồi,Sốt bơ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12951,Cá ngừ kho cay,Cá ngừ kho cay nhỏ,Cá ngừ lát size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12952,Cá ngừ kho cay,Cá ngừ kho cay lớn,Cá ngừ lát size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12953,Cà pháo muối xổi,Cà pháo muối xổi,Cà pháo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12954,Cá nục chiên mắm tỏi,Cá nục chiên mắm tỏi,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12955,Canh bầu nấu tôm,Canh bầu nấu tôm,Bầu,Tôm lột,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12956,Bò xào đậu ve,Bò xào đậu ve,Bò tái,Đậu ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12957,Cá hố chiên rim mắm,Cá hố chiên rim mắm,Cá hố,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12958,Bún xương mọc,Bún xương mọc,Bún,Xương heo,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12959,Bầu luộc,Bầu luộc,Bầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12960,Cà tím xào lá lốt,Cà tím xào lá lốt,Cà tím,Lá lốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12961,Bò kho dưa chua,Bò kho dưa chua,Bò nạm,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12962,Bún bò giò heo,Bún bò giò heo,Bún bò,Giò heo chặt khoanh,Bò nạm,,,,,,,,,,,,,,,,,,,,,,,,,,,
12963,Bún bò giò heo,Bún bò giò heo gàu,Bún bò,Giò heo chặt khoanh,Bò gàu,Giò heo chặt khoanh,,,,,,,,,,,,,,,,,,,,,,,,,,
12964,Bún bò giò heo,Bún bò giò heo nạm,Bún bò,Bò nạm,Giò heo chặt khoanh,,,,,,,,,,,,,,,,,,,,,,,,,,,
12965,Cánh gà kho sả,Cánh gà kho sả,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12966,Cá nục kho dưa chua,Cá nục kho dưa chua,Cá nục bông 400-600g,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12967,Cải ngọt xào giá,Cải ngọt xào giá,Cải ngọt,Giá,,Giá,,,,,,,,,,,,,,,,,,,,,,,,,,
12968,Cá nục chiên,Cá nục chiên,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12969,Cá nục chiên,Cá nục chiên nhỏ,Cá nục size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12970,Bún chả giò thịt luộc đậu hũ,Bún chả giò thịt luộc đậu hũ,Bún nhỏ,Chả giò xốp tôm thịt,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12971,Bún chả giò thịt luộc đậu hũ,Bún chả giò thịt luộc,Bún nhỏ,Thịt đùi heo tươi,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12972,Cá lóc chiên sả,Cá lóc chiên sả,Cá lóc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12973,Canh cà chua,Canh cà chua,Cà chua,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12974,Bánh đa cua,Bánh đa cua Hải Phòng,Bánh đa,Thịt heo nạc vai,Cua xay,Mọc,Thịt xay,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,
12975,Bánh đa cua,Bánh đa cua đặc biệt,Bánh đa,Thịt đùi heo tươi,Cua xay,Thịt xay,Mọc,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12976,Bánh đa cua,Bánh đa cua xương heo,Bánh đa,Xương heo,Cua xay,Mọc,Thịt xay,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12977,Bánh đa cua,Bánh đa cua full topping,Bánh đa,Thịt heo nạc vai,Cua xay,Mọc,Thịt xay,Chả lụa,Đậu hũ chiên,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,
12978,Bánh đa cua,Bánh đa cua tổng hợp,Bánh đa,Cua xay,Mọc,Thịt xay,Xương heo,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12979,Bánh đa cua,Bánh đa cua thịt,Bánh đa,Thịt heo nạc vai,Cua xay,Mọc,Thịt xay,Đậu hũ chiên,Trứng gà 300 quả/cây,Chả lụa,,,,,,,,,,,,,,,,,,,,,,
12980,Bánh đa cua,Bánh đa cua heo,Bánh đa,Thịt heo vai tươi,Cua xay,Mọc,Thịt xay,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12981,Bánh đa cua,Bánh đa cua truyền thống,Bánh đa,Thịt heo nạc vai,Cua xay,Thịt xay,Mọc,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12982,Bánh đa cua,Bánh đa cua xương,Xương heo,Cua xay,Mọc,Thịt xay,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,
12983,Bánh đa cua,Bánh đa cua đùi heo,Bánh đa,Thịt đùi heo tươi,Cua xay,Mọc,Thịt xay,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12984,Bánh đa cua,Bánh đa cua đùi heo mọc,Bánh đa,Thịt đùi heo tươi,Cua xay,Thịt xay,Mọc,Trứng gà 300 quả/cây,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,
12985,Bánh đa cua,Bánh đa cua đầy đủ,Bánh đa,Xương heo,Cua xay,Mọc,Thịt xay,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,
12986,Bún chả giò nem nướng,Bún chả giò nem nướng,Bún nhỏ,Nem nướng,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12987,Bún chả giò nem nướng,Bún chả bì nem nướng,Bún nhỏ,Nem nướng,Chả bì,,,,,,,,,,,,,,,,,,,,,,,,,,,
12988,Bún chả giò nem nướng,Bún chả giò nem nướng bì,Bún nhỏ,Chả giò xốp tôm thịt,Bì heo,,,,,,,,,,,,,,,,,,,,,,,,,,,
12989,Bún chả giò nem nướng,Bún chả giò nem nướng cao cấp,Bún nhỏ,Nem nướng,Thịt heo nạc vai,Bì heo,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,
12990,Bún chả giò nem nướng,Bún chả giò bì nướng,Bún nhỏ,Chả giò xốp tôm thịt,Chả bì,,,,,,,,,,,,,,,,,,,,,,,,,,,
12991,Canh cải ngọt,Canh cải ngọt,Cải ngọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12992,Cá nục bông kho thơm,Cá nục bông kho thơm,Cá nục bông 400-600g,Thơm gọt,,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,
12993,Cá cam kho thơm,Cá cam kho thơm,Cá cam nhập khẩu,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12994,Canh bún,Canh bún thịt nạc,Bún bò,Thịt heo nạc vai,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12995,Canh bún,Canh bún tôm,Bún bò,Tôm khô,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12996,Canh bún,Canh bún tôm mọc,Bún bò,Tôm khô,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12997,Canh bún,Canh bún tôm thịt,Bún bò,Tôm khô,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
13290,Canh bún,Canh bún thập cẩm,Bún bò,Tôm khô,Cua xay,Mọc,Chả lụa,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,
12998,Cá nục chiên giòn,Cá nục chiên giòn,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12999,Bò xào hành cần,Bò xào hành cần,Bò tái,Hành tây,Cần tàu,,,,,,,,,,,,,,,,,,,,,,,,,,,
13000,Bắp cải xào,Bắp cải xào,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,Bánh canh thịt,Bánh canh thịt bằm,Bánh canh,Thịt heo nạc vai,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
13002,Bánh canh thịt,Bánh canh thịt truyền thống,Bánh canh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13003,Bánh canh thịt,Bánh canh thịt vai xay,Bánh canh,Thịt heo vai tươi,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
13004,Cải thìa xào,Cải thìa xào,Cải thìa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005,Cá rô kho tiêu,Cá rô kho tiêu,Cá rô size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006,Bún nem cua bể,Bún nem cua bể,Bún nhỏ,Nem cua bể,Thịt heo nạc vai,Bì heo,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,
13007,Canh bí đỏ hầm xương,Canh bí đỏ hầm xương,Bí đỏ,Xương heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13008,Cá nục kho cay,Cá nục kho cay,Cá nục bông 200-400g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13009,Cá nục kho cay,Cá nục kho cay lớn,Cá nục bông 400-600g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13010,Canh chua muống,Canh chua muống,Rau muống,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,Bò xào lá lốt,Bò xào lá lốt,Bò tái,Lá lốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13012,Cá hường chiên,Cá hường chiên giòn,Cá đổng lai size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13013,Cá hường chiên,Cá hường chiên đặc biệt,Cá đổng lai size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13014,Bún chả cá sứa,Bún chả cá sứa,Bún,Chả cá nha trang,Tôm thẻ size 60 con,Sứa,,,,,,,,,,,,,,,,,,,,,,,,,,
13015,Bún đậu hũ thịt luộc nước tương,Bún đậu hũ thịt luộc nước tương,Bún nhỏ,Thịt đùi heo tươi,Đậu phộng rang (chế biến sẵn),Hành phi,,,,,,,,,,,,,,,,,,,,,,,,,,
13016,Bún chả cá cá hồi,Bún chả cá cá hồi,Bún,Chả cá nha trang,Tôm thẻ size 50 con,Cá hồi,,,,,,,,,,,,,,,,,,,,,,,,,,
13017,Bún nem nướng,Bún nem nướng,Bún nhỏ,Nem nướng,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13018,Bò viên rim mắm,Bò viên rim mắm,Bò viên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13019,Bầu luộc chao,Bầu luộc chao,Bầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13020,Cá nục kho tóp mỡ,Cá nục kho tóp mỡ,Cá nục bông 400-600g,Mỡ heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13021,Cá bạc má chiên,Cá bạc má chiên,Cá bạc má size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13022,Cá bạc má chiên,Cá bạc má chiên size lớn,Cá bạc má size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13023,Cánh gà chiên,Cánh gà chiên,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13024,Bún thái hải sản,Bún thái hải sản,Bún,Cá viên 1000gr/gói,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
13025,Cá ba sa kho tóp mỡ,Cá ba sa kho tóp mỡ,Cá ba sa không đầu,Mỡ heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13026,Cá nục kho cà,Cá nục kho cà chua,Cá nục bông 400-600g,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13027,Cá nục kho cà,Cá nục kho cà nhỏ,Cá nục size 10,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13028,Cá nục kho cà,Cá nục bông 200-400g kho cà,Cá nục bông 200-400g,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13029,Cá nục kho cà,Cá nục bông 400-600g kho cà,Cá nục bông 400-600g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13030,Bánh mì bò lúc lắc,Bánh mì bò lúc lắc,Bánh mì giòn,Bò nguyên,Xà lách giòn,Bắp cải tím,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,
13031,Bánh bông lan,Bánh bông lan truyền thống,Bánh bông lan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13032,Bánh canh giò heo,Bánh canh giò heo nạc vai,Bánh canh,Giò heo chặt khoanh,Thịt heo nạc vai,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,
13033,Bánh canh giò heo,Bánh canh giò heo mọc,Bánh canh,Giò heo chặt khoanh,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
13034,Bún chả cá,Bún chả cá xương heo,Bún,Xương heo,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,
13035,Bún chả cá,Bún chả cá Nha Trang,Bún,Chả cá nha trang,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,
13036,Bún chả cá,Bún chả cá thịt nạc vai,Bún,Thịt heo nạc vai,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,
13037,Bún gạo xào tôm thịt,Bún gạo xào tôm cải,Bún gạo,Mì ký xanh 1kg/túi (10 túi/ thùng),Cải ngọt,Hẹ,Giá,,,,,,,,,,,,,,,,,,,,,,,,,
13038,Bún gạo xào tôm thịt,Bún gạo xào tôm chả giò,Bún gạo,Mì ký xanh 1kg/túi (10 túi/ thùng),Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13039,Cải thảo luộc,Cải thảo luộc,Cải thảo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13040,Cà tím xào,Cà tím xào,Cà tím,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13041,Cánh gà nướng,Cánh gà nướng,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13042,Bông cải xào cà rốt,Bông cải xào cà rốt,Bông cải trắng,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13043,Bò xào sả ớt,Bò xào sả ớt,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13044,Cá chiên sốt mắm,Cá chiên sốt mắm,Cá nục size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13045,Cá chiên sốt mắm,Cá chiên sốt mắm,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13046,Bò bóp thấu,Bò bóp thấu,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13047,Bò xào khoai tây,Bò xào khoai tây,Bò tái,Khoai tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13048,Bò xào khoai tây,Bò xào khoai tây trứng,Bò tái,Khoai tây,Trứng vịt 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,
13049,Canh bí đỏ,Canh bí đỏ,Bí đỏ,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13050,Bánh mì sườn lagu,Bánh mì sườn lagu,Bánh mì giòn,Sườn non tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13051,Cá nục chiên mắm xoài,Cá nục chiên mắm xoài,Cá nục size 8,Xoài xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13052,Cá nục chiên mắm xoài,Cá nục chiên mắm xoài lớn,Cá nục size 10,Xoài xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13053,Bún giò heo,Bún giò heo,Bún,Giò heo chặt khoanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13054,Bún giò heo,Bún giò heo mọc,Bún,Giò heo chặt khoanh,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
13055,Cá thu nhật kho cà,Cá thu nhật kho cà,Cá thu đao nhập khẩu,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13056,Cá cờ sốt cà,Cá cờ sốt cà,Cá cờ,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13057,Cá cam kho cà,Cá cam kho cà,Cá cam nhập khẩu,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13058,Bò xào khổ qua,Bò xào khổ qua,Bò tái,Khổ qua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13059,Bò xào rau củ,Bò xào rau củ,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13060,Cánh gà rang muối,Cánh gà rang muối,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13061,Bò xào su hào,Bò xào su hào,Bò tái,Su hào,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13062,Bánh mì bò kho,Bánh mì bò kho,Bánh mì giòn,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13063,Bánh mì bò kho,Bánh mì bò kho thịt nạm,Bánh mì giòn,Bò nạm,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13064,Cá diêu hồng sốt cay,Cá diêu hồng sốt cay,Cá diêu hồng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13065,Cá hường chiên sả,Cá hường chiên sả,Cá đổng lai size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13066,Cá hường chiên sả,Cá hường chiên sả,Cá đổng lai size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13067,Bún chả giò,Bún chả giò,Bún nhỏ,Nem nướng,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13068,Bún chả giò,Bún chả giò thịt,Bún nhỏ,Nem nướng,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
13069,Bún chả giò,Bún chả giò topping,Bún nhỏ,Nem nướng,Đậu phộng rang (chế biến sẵn),Hành phi,,,,,,,,,,,,,,,,,,,,,,,,,,
13070,Bò xào ngũ sắc,Bò xào ngũ sắc,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13071,Bánh canh cua,Bánh canh cua càng ghẹ thịt heo,Bánh canh,Càng ghẹ,Thịt heo nạc vai,Trứng cút,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,
13072,Bánh canh cua,Bánh canh cua càng ghẹ thịt heo tôm,Bánh canh,Càng ghẹ,Thịt heo nạc vai,Tôm thẻ size 60 con,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,
13073,Bánh canh thịt nấm,Bánh canh thịt nấm bào ngư,Bánh canh,Nấm bào ngư xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13074,Bánh canh thịt nấm,Bánh canh thịt mọc nấm,Bánh canh,Thịt heo nạc vai,Mọc,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,
13075,Bò lagu,Bò lagu,Bò nạm,Khoai tây,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13076,Bún riêu tôm,Bún riêu tôm,Bún nhỏ,Thịt heo nạc vai,Đậu hũ chiên,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,
13077,Bún riêu tôm,Bún riêu tôm xương,Bún nhỏ,Chả lụa,Tôm thẻ size 50 con,Đậu hũ chiên,Xương heo,Cua xay,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,
13078,Cánh gà chiên xù,Cánh gà chiên xù,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13079,Cá hố chiên,Cá hố chiên,Cá hố,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13080,Cá lóc kho thơm,Cá lóc kho thơm,Cá lóc,Thơm gọt,,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,
13081,Bún bò nạm gân,Bún bò nạm gân,Bún bò,Bò nạm,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,
13082,Cá lóc kho tiêu,Cá lóc kho tiêu,Cá lóc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13083,Cá ngừ kho cà,Cá ngừ kho cà,Cá ngừ lát size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13084,Cá ngừ kho cà,Cá ngừ kho cà lớn,Cá ngừ lát size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13085,Bún mắm,Bún mắm,Bún,Mực lá tươi,Tôm thẻ size 100 con,Mắm linh xay,,,,,,,,,,,,,,,,,,,,,,,,,,
13086,Bún mắm,Bún mắm thịt,Bún,Mực lá tươi,Thịt heo nạc vai,Mắm linh xay,,,,,,,,,,,,,,,,,,,,,,,,,,
13087,Bún mắm,Bún mắm heo quay,Bún,Heo quay,Tôm thẻ size 60 con,Mắm linh xay,,,,,,,,,,,,,,,,,,,,,,,,,,
13088,Bún mắm,Bún mắm tôm,Bún,Thịt xay,Tôm thẻ size 60 con,Mắm linh xay,,,,,,,,,,,,,,,,,,,,,,,,,,
13089,Bún mắm,Bún mắm cao cấp,Bún,Thịt heo nạc vai,Tôm thẻ size 100 con,Mắm linh xay,,,,,,,,,,,,,,,,,,,,,,,,,,
13090,Bún mắm,Bún mắm tổng hợp,Bún,Mắm linh xay,Heo quay,Chả cá nha trang,,,,,,,,,,,,,,,,,,,,,,,,,,
13091,Bún mắm,Bún mắm hải sản,Bún,Mực lá tươi,Tôm thẻ size 80 con,Mắm linh xay,,,,,,,,,,,,,,,,,,,,,,,,,,
13092,Canh bầu,Canh bầu thịt bằm,Bầu,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13093,Cánh gà chiên nước mắm,Cánh gà chiên nước mắm,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13094,Cá chiên mắm tỏi,Cá chiên mắm tỏi,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13095,Cá nục kho tiêu,Cá nục kho tiêu,Cá nục bông 400-600g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13096,Cá nục kho tiêu,Cá nục lớn kho tiêu,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13097,Bánh canh gà,Bánh canh gà fillet,Bánh canh,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13098,Bánh canh gà,Bánh canh gà đùi góc tư,Bánh canh,Đùi góc tư tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
13099,Bánh canh gà,Bánh canh gà ta,Bánh canh,Gà tam hoàng,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
13100,Bánh canh gà,Bánh canh gà truyền thống,Bánh canh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13101,Bò viên xào hành tây,Bò viên xào hành tây,Bò viên,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13102,Bún thịt nướng,Bún thịt nướng chả giò,Bún nhỏ,Thịt heo vai tươi,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13103,Canh đậu hũ hẹ,Canh đậu hũ hẹ,Đậu hũ trắng,Cà chua,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
13104,Bún bò gân,Bún bò gân,Bún bò,Bò gân,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13105,Bún bò gàu chả,Bún bò gàu chả,Bún bò,Bò gàu,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,
13106,Bún chả giò bì thịt,Bún chả giò bì thịt,Bún nhỏ,Thịt heo vai tươi,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,
13107,Bánh da lợn,Bánh da lợn,Bánh da lợn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13108,Bắp cải xào cà rốt,Bắp cải xào cà rốt,Bắp cải trắng,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
