ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12737,Hủ tiếu mì thịt,Hủ tiếu mì củ cải thanh ngọt,Hủ tiếu tươi,Mì vàng,Củ cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,
12738,Mì đùi gà tiềm,Mì đùi gà tiềm,Mì vàng,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12739,Mì đùi gà tiềm,Mì đùi gà tiềm nấm 6 vắt,Mì 6 vắt,Đùi tỏi tươi size 6->6.5 cái,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,
12740,Cơm chiên dương châu,Cơm chiên dương châu,Chả lụa,Đậu ve,Cà rốt,Lạp xưởng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12741,Chả lụa rim,Chả lụa rim,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12742,Gà kho gừng,Gà kho gừng,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12743,Chạo tôm,Chạo tôm,Tôm lột,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12744,Hủ tiếu mì nam vang,Hủ tiếu mì nam vang,Hủ tiếu tươi,Mì vàng,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Hủ tiếu xương hoành thánh,Hủ tiếu xương hoành thánh,Hủ tiếu tươi,Xương heo,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12746,Heo quay kho trứng,Heo quay kho trứng,Heo quay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12747,Má gà quay,Má gà quay,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12748,Đậu bắp luộc chao,Đậu bắp luộc chao,Đậu bắp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12749,Ếch xào sả ớt,Ếch xào sả ớt,Ếch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12750,Mì xào thập cẩm,Mì xào thập cẩm,Mì ký xanh 1kg/túi (10 túi/ thùng),Đậu hũ chiên,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12751,Gỏi bò rau càng cua,Gỏi bò rau càng cua,Rau càng cua,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12752,Chả cá rim tỏi ớt,Chả cá rim tỏi ớt cay,Chả cá chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12753,Chả cá rim tỏi ớt,Chả cá Nha Trang rim tỏi ớt,Chả cá nha trang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12754,Chả chiên rim ớt chuông,Chả chiên xào ớt chuông xanh,Chả chiên,Hành tây,Ớt chuông xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,
12755,Chả chiên rim ớt chuông,Chả lụa xào ớt chuông đỏ,Chả lụa,Hành tây,Ớt chuông đỏ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12756,Mì gà tiềm,Mì gà tiềm nấm đông cô,Mì vàng,Nấm đông cô,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12757,Mì gà tiềm,Mì gà tiềm nấm đông cô,Mì vàng,Má gà tươi,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,
12758,Mì gà tiềm,Mì gà tiềm đùi lớn,Mì vàng,Đùi tỏi tươi size 6->6.5 cái,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,,
